,ICD9,counts,frequency,description
1759,566,42,0.0007965709517126276,Abscess of anal and rectal regions
1760,154.1,42,0.0007965709517126276,Malignant neoplasm of rectum
1761,E956,42,0.0007965709517126276,Suicide and self-inflicted injury by cutting and piercing instrument
1762,807.07,42,0.0007965709517126276,Closed fracture of seven ribs
1763,V15.1,42,0.0007965709517126276,"Personal history of surgery to heart and great vessels, presenting hazards to health"
1764,212.7,42,0.0007965709517126276,Benign neoplasm of heart
1765,46.03,42,0.0007965709517126276,Exteriorization of large intestine
1766,99.23,42,0.0007965709517126276,Injection of steroid
1767,850.11,42,0.0007965709517126276,Concussion with loss of consciousness of 30 minutes or less
1768,15.3,42,0.0007965709517126276,"Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes"
1769,682.1,42,0.0007965709517126276,Cellulitis and abscess of neck
1770,V15.41,42,0.0007965709517126276,Personal history of physical abuse
1771,556.6,42,0.0007965709517126276,Universal ulcerative (chronic) colitis
1772,86.01,41,0.0007776049766718507,Aspiration of skin and subcutaneous tissue
1773,378.54,41,0.0007776049766718507,Sixth or abducens nerve palsy
1774,764.07,41,0.0007776049766718507,"&quot;Light-for-dates&quot; without mention of fetal malnutrition, 1,750- 1,999 grams"
1775,228.04,41,0.0007776049766718507,Hemangioma of intra-abdominal structures
1776,156.1,41,0.0007776049766718507,Malignant neoplasm of extrahepatic bile ducts
1777,813.41,41,0.0007776049766718507,"Fracture, closed, colles&apos;"
1778,519.4,41,0.0007776049766718507,Disorders of diaphragm
1779,295.32,41,0.0007776049766718507,"Paranoid type schizophrenia, chronic state"
1780,823.32,41,0.0007776049766718507,Open fracture of shaft of fibula with tibia
1781,323.9,41,0.0007776049766718507,"Unspecified cause of encephalitis, myelitis, and encephalomyelitis"
1782,289.9,41,0.0007776049766718507,Unspecified diseases of blood and blood-forming organs
1783,681.10,41,0.0007776049766718507,"Cellulitis and abscess of toe, unspecified"
1784,E939.3,41,0.0007776049766718507,"Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use"
1785,420.99,41,0.0007776049766718507,Other acute pericarditis
1786,963.0,41,0.0007776049766718507,Poisoning by antiallergic and antiemetic drugs
1787,E941.3,41,0.0007776049766718507,Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use
1788,198.1,41,0.0007776049766718507,Secondary malignant neoplasm of other urinary organs
1789,E884.3,41,0.0007776049766718507,Fall from wheelchair
1790,84.56,41,0.0007776049766718507,Insertion of (cement) spacer
1791,752.61,40,0.0007586390016310738,Hypospadias
1792,433.20,40,0.0007586390016310738,"Occlusion and stenosis of vertebral artery, without mention of cerebral infarction"
1793,924.00,40,0.0007586390016310738,Contusion of thigh
1794,455.5,40,0.0007586390016310738,External hemorrhoids with other complication
1795,528.9,40,0.0007586390016310738,Other and unspecified diseases of the oral soft tissues
1796,E950.9,40,0.0007586390016310738,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances
1797,715.98,40,0.0007586390016310738,"Osteoarthrosis, unspecified whether generalized or localized, involving other specified sites"
1798,386.00,40,0.0007586390016310738,"Meniere&apos;s disease, unspecified"
1799,57.0,40,0.0007586390016310738,Transurethral clearance of bladder
1800,682.0,40,0.0007586390016310738,Cellulitis and abscess of face
1801,42.92,40,0.0007586390016310738,Dilation of esophagus
1802,46.51,40,0.0007586390016310738,Closure of stoma of small intestine
1803,84.72,40,0.0007586390016310738,"Application of external fixator device, ring system"
1804,79.09,40,0.0007586390016310738,Closed reduction of fracture of other specified bone without internal fixation
1805,85.7,40,0.0007586390016310738,Total reconstruction of breast
1806,198.2,39,0.000739673026590297,Secondary malignant neoplasm of skin
1807,357.5,39,0.000739673026590297,Alcoholic polyneuropathy
1808,357.0,39,0.000739673026590297,Acute infective polyneuritis
1809,707.06,39,0.000739673026590297,"Decubitus ulcer, ankle"
1810,812.01,39,0.000739673026590297,"Fracture of surgical neck of humerus, closed"
1811,996.2,39,0.000739673026590297,"Mechanical complication of nervous system device, implant, and graft"
1812,535.01,39,0.000739673026590297,"Acute gastritis, with hemorrhage"
1813,38.03,39,0.000739673026590297,Incision of upper limb vessels
1814,304.70,39,0.000739673026590297,"Combinations of opioid type drug with any other drug dependence, unspecified use"
1815,786.05,39,0.000739673026590297,Shortness of breath
1816,96.09,39,0.000739673026590297,Insertion of rectal tube
1817,041.5,39,0.000739673026590297,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
1818,193,39,0.000739673026590297,Malignant neoplasm of thyroid gland
1819,443.24,39,0.000739673026590297,Dissection of vertebral artery
1820,750.3,39,0.000739673026590297,"Tracheoesophageal fistula, esophageal atresia and stenosis, congenital"
1821,865.02,39,0.000739673026590297,"Capsular tears to spleen, without major disruption of parenchyma, without mention of open wound into cavity"
1822,357.6,39,0.000739673026590297,Polyneuropathy due to drugs
1823,722.71,39,0.000739673026590297,"Intervertebral disc disorder with myelopathy, cervical region"
1824,29.11,39,0.000739673026590297,Pharyngoscopy
1825,191.3,38,0.0007207070515495202,Malignant neoplasm of parietal lobe
1826,788.41,38,0.0007207070515495202,Urinary frequency
1827,403.11,38,0.0007207070515495202,"Hypertensive renal disease, benign, with renal failure"
1828,733.99,38,0.0007207070515495202,Other disorders of bone and cartilage
1829,569.62,38,0.0007207070515495202,Mechanical complication of colostomy and enterostomy
1830,54.61,38,0.0007207070515495202,Reclosure of postoperative disruption of abdominal wall
1831,490,38,0.0007207070515495202,"Bronchitis, not specified as acute or chronic"
1832,204.00,38,0.0007207070515495202,Acute lymphoid leukemia without mention of remission
1833,823.02,38,0.0007207070515495202,Closed fracture of upper end of fibula with tibia
1834,99.0,38,0.0007207070515495202,Transfusion of blood and blood components
1835,733.19,38,0.0007207070515495202,Pathologic fracture of other specified site
1836,45.61,38,0.0007207070515495202,Multiple segmental resection of small intestine
1837,37.82,38,0.0007207070515495202,"Initial insertion of single-chamber device, rate responsive"
1838,733.09,38,0.0007207070515495202,Other osteoporosis
1839,99.19,38,0.0007207070515495202,Injection of anticoagulant
1840,771.83,38,0.0007207070515495202,Bacteremia of newborn
1841,277.3,38,0.0007207070515495202,Amyloidosis
1842,801.25,38,0.0007207070515495202,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
1843,411.0,38,0.0007207070515495202,Postmyocardial infarction syndrome
1844,729.72,38,0.0007207070515495202,Nontraumatic compartment syndrome of lower extremity
1845,863.89,38,0.0007207070515495202,Injury to other and unspecified gastrointestinal sites without open wound into cavity
1846,80.76,38,0.0007207070515495202,Synovectomy of knee
1847,77.68,38,0.0007207070515495202,Local excision of lesion or tissue of tarsals and metatarsals
1848,494.1,38,0.0007207070515495202,Bronchiectasis with acute exacerbation
1849,916.0,38,0.0007207070515495202,"Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection"
1850,77.67,38,0.0007207070515495202,Local excision of lesion or tissue of tibia and fibula
1851,451.89,38,0.0007207070515495202,Phlebitis and thrombophlebitis of other sites
1852,37.28,38,0.0007207070515495202,Intracardiac echocardiography
1853,34.82,38,0.0007207070515495202,Suture of laceration of diaphragm
1854,852.25,38,0.0007207070515495202,"Subdural hemorrhage following injury, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
1855,112.4,37,0.0007017410765087433,Candidiasis of lung
1856,33.26,37,0.0007017410765087433,Closed [percutaneous] [needle] biopsy of lung
1857,865.09,37,0.0007017410765087433,Other injury into spleen without mention of open wound into cavity
1858,446.6,37,0.0007017410765087433,Thrombotic microangiopathy
1859,518.3,37,0.0007017410765087433,Pulmonary eosinophilia
1860,965.01,37,0.0007017410765087433,Poisoning by heroin
1861,806.05,37,0.0007017410765087433,Closed fracture of C(5)-C(7) level with unspecified spinal cord injury
1862,304.71,37,0.0007017410765087433,"Combinations of opioid type drug with any other drug dependence, continuous use"
1863,E813.6,37,0.0007017410765087433,Motor vehicle traffic accident involving collision with other vehicle injuring pedal cyclist
1864,39.65,37,0.0007017410765087433,Extracorporeal membrane oxygenation [ECMO]
1865,257.2,37,0.0007017410765087433,Other testicular hypofunction
1866,54.63,37,0.0007017410765087433,Other suture of abdominal wall
1867,153.6,37,0.0007017410765087433,Malignant neoplasm of ascending colon
1868,E980.0,37,0.0007017410765087433,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted"
1869,110.3,37,0.0007017410765087433,Dermatophytosis of groin and perianal area
1870,824.0,37,0.0007017410765087433,"Fracture of medial malleolus, closed"
1871,426.52,37,0.0007017410765087433,Right bundle branch block and left anterior fascicular block
1872,536.8,37,0.0007017410765087433,Dyspepsia and other specified disorders of function of stomach
1873,478.30,37,0.0007017410765087433,Unspecified paralysis of vocal cords
1874,522.4,37,0.0007017410765087433,Acute apical periodontitis of pulpal origin
1875,824.4,37,0.0007017410765087433,"Bimalleolar fracture, closed"
1876,81.07,37,0.0007017410765087433,"Lumbar and lumbosacral fusion, lateral transverse process technique"
1877,958.8,37,0.0007017410765087433,Other early complications of trauma
1878,423.1,37,0.0007017410765087433,Adhesive pericarditis
1879,695.89,37,0.0007017410765087433,Other specified erythematous conditions
1880,707.02,37,0.0007017410765087433,"Decubitus ulcer, upper back"
1881,995.90,37,0.0007017410765087433,"Systemic inflammatory response syndrome, unspecified"
1882,695.3,37,0.0007017410765087433,Rosacea
1883,922.2,37,0.0007017410765087433,Contusion of abdominal wall
1884,110.1,37,0.0007017410765087433,Dermatophytosis of nail
1885,33.78,37,0.0007017410765087433,Endoscopic removal of bronchial device(s) or substances
1886,598.9,37,0.0007017410765087433,"Urethral stricture, unspecified"
1887,34.2,37,0.0007017410765087433,"Diagnostic procedures on chest wall, pleura, mediastinum, and diaphragm"
1888,31.29,36,0.0006827751014679665,Other permanent tracheostomy
1889,789.07,36,0.0006827751014679665,"Abdominal pain, generalized"
1890,787.3,36,0.0006827751014679665,"Flatulence, eructation, and gas pain"
1891,958.92,36,0.0006827751014679665,Traumatic compartment syndrome of lower extremity
1892,E938.3,36,0.0006827751014679665,Intravenous anesthetics causing adverse effects in therapeutic use
1893,805.04,36,0.0006827751014679665,Closed fracture of fourth cervical vertebra
1894,E819.0,36,0.0006827751014679665,Motor vehicle traffic accident of unspecified nature injuring driver of motor vehicle other than motorcycle
1895,V54.19,36,0.0006827751014679665,Aftercare for healing traumatic fracture of other bone
1896,277.30,36,0.0006827751014679665,"Amyloidosis, unspecified"
1897,870.8,36,0.0006827751014679665,Other specified open wounds of ocular adnexa
1898,527.2,36,0.0006827751014679665,Sialoadenitis
1899,565.0,36,0.0006827751014679665,Anal fissure
1900,707.10,36,0.0006827751014679665,"Ulcer of lower limb, unspecified"
1901,78.55,36,0.0006827751014679665,Internal fixation of femur without fracture reduction
1902,153.3,36,0.0006827751014679665,Malignant neoplasm of sigmoid colon
1903,309.28,36,0.0006827751014679665,Adjustment disorder with mixed anxiety and depressed mood
1904,44.3,36,0.0006827751014679665,Gastroenterostomy without gastrectomy
1905,537.3,36,0.0006827751014679665,Other obstruction of duodenum
1906,44.29,36,0.0006827751014679665,Other pyloroplasty
1907,882.0,36,0.0006827751014679665,"Open wound of hand except fingers alone, without mention of complication"
1908,575.10,36,0.0006827751014679665,"Cholecystitis, unspecified"
1909,796.2,36,0.0006827751014679665,Elevated blood pressure reading without diagnosis of hypertension
1910,V27.0,36,0.0006827751014679665,Mother with single liveborn
1911,E870.6,36,0.0006827751014679665,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization"
1912,E858.3,36,0.0006827751014679665,Accidental poisoning by agents primarily affecting cardiovascular system
1913,V55.4,36,0.0006827751014679665,Attention to other artificial opening of digestive tract
1914,805.08,36,0.0006827751014679665,Closed fracture of multiple cervical vertebrae
1915,97.37,36,0.0006827751014679665,Removal of tracheostomy tube
1916,795.79,36,0.0006827751014679665,Other and unspecified nonspecific immunological findings
1917,V14.8,36,0.0006827751014679665,Personal history of allergy to other specified medicinal agents
1918,041.01,36,0.0006827751014679665,Group A Streptococcus infection in conditions classified elsewhere and of unspecified site
1919,294.11,36,0.0006827751014679665,Dementia in conditions classified elsewhere with behavioral disturbance
1920,738.19,36,0.0006827751014679665,Other specified acquired deformity of head
1921,94.65,35,0.0006638091264271896,Drug detoxification
1922,344.89,35,0.0006638091264271896,Other specified paralytic syndrome
1923,162.4,35,0.0006638091264271896,"Malignant neoplasm of middle lobe, bronchus or lung"
1924,753.3,35,0.0006638091264271896,Other specified congenital anomalies of kidney
1925,77.88,35,0.0006638091264271896,Other partial ostectomy of tarsals and metatarsals
1926,211.4,35,0.0006638091264271896,Benign neoplasm of rectum and anal canal
1927,38.07,35,0.0006638091264271896,Incision of abdominal veins
1928,34.01,35,0.0006638091264271896,Incision of chest wall
1929,851.82,35,0.0006638091264271896,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
1930,719.7,35,0.0006638091264271896,Difficulty in walking
1931,V49.73,35,0.0006638091264271896,Foot amputation status
1932,191.8,35,0.0006638091264271896,Malignant neoplasm of other parts of brain
1933,37.91,35,0.0006638091264271896,Open chest cardiac massage
1934,E879.4,35,0.0006638091264271896,"Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
1935,366.8,35,0.0006638091264271896,Other cataract
1936,295.72,35,0.0006638091264271896,"Schizo-affective type schizophrenia, chronic state"
1937,726.10,35,0.0006638091264271896,"Disorders of bursae and tendons in shoulder region, unspecified"
1938,198.0,35,0.0006638091264271896,Secondary malignant neoplasm of kidney
1939,812.09,35,0.0006638091264271896,Other closed fractures of upper end of humerus
1940,E917.9,35,0.0006638091264271896,Other striking against with or without subsequent fall
1941,10.9,35,0.0006638091264271896,Other operations on conjunctiva
1942,E878.5,35,0.0006638091264271896,"Amputation of limb(s) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
1943,263.1,35,0.0006638091264271896,Malnutrition of mild degree
1944,530.6,35,0.0006638091264271896,"Diverticulum of esophagus, acquired"
1945,822.0,34,0.0006448431513864128,Closed fracture of patella
1946,410.61,34,0.0006448431513864128,"Acute myocardial infarction, true posterior wall infarction, initial episode of care"
1947,46.41,34,0.0006448431513864128,Revision of stoma of small intestine
1948,E939.0,34,0.0006448431513864128,Antidepressants causing adverse effects in therapeutic use
1949,251.1,34,0.0006448431513864128,Other specified hypoglycemia
1950,821.23,34,0.0006448431513864128,"Supracondylar fracture of femur, closed"
1951,305.91,34,0.0006448431513864128,"Other, mixed, or unspecified drug abuse, continuous use"
1952,386.11,34,0.0006448431513864128,Benign paroxysmal positional vertigo
1953,573.9,34,0.0006448431513864128,Unspecified disorder of liver
1954,53.69,34,0.0006448431513864128,Repair of other hernia of anterior abdominal wall with graft or prosthesis
1955,444.1,34,0.0006448431513864128,Embolism and thrombosis of thoracic aorta
1956,96.48,34,0.0006448431513864128,Irrigation of other indwelling urinary catheter
1957,575.12,34,0.0006448431513864128,Acute and chronic cholecystitis
1958,575.8,34,0.0006448431513864128,Other specified disorders of gallbladder
1959,786.52,34,0.0006448431513864128,Painful respiration
1960,79.75,34,0.0006448431513864128,Closed reduction of dislocation of hip
1961,379.41,34,0.0006448431513864128,Anisocoria
1962,552.3,34,0.0006448431513864128,Diaphragmatic hernia with obstruction
1963,567.31,34,0.0006448431513864128,Psoas muscle abscess
1964,537.9,34,0.0006448431513864128,Unspecified disorder of stomach and duodenum
1965,534.40,34,0.0006448431513864128,"Chronic or unspecified gastrojejunal ulcer with hemorrhage, without mention of obstruction"
1966,157.9,34,0.0006448431513864128,"Malignant neoplasm of pancreas, part unspecified"
1967,V45.76,34,0.0006448431513864128,Acquired absence of lung
1968,519.8,34,0.0006448431513864128,"Other diseases of respiratory system, not elsewhere classified"
1969,304.20,34,0.0006448431513864128,"Cocaine dependence, unspecified use"
1970,404.91,34,0.0006448431513864128,"Hypertensive heart and renal disease, unspecified, with heart failure"
1971,773.2,34,0.0006448431513864128,Hemolytic disease due to other and unspecified isoimmunization of fetus or newborn
1972,374.30,34,0.0006448431513864128,"Ptosis of eyelid, unspecified"
1973,456.0,33,0.000625877176345636,Esophageal varices with bleeding
1974,333.99,33,0.000625877176345636,Other extrapyramidal diseases and abnormal movement disorders
1975,850.5,33,0.000625877176345636,Concussion with loss of consciousness of unspecified duration
1976,567.89,33,0.000625877176345636,Other specified peritonitis
1977,12.3,33,0.000625877176345636,Iridoplasty and coreoplasty
1978,752.51,33,0.000625877176345636,Undescended testis
1979,619.1,33,0.000625877176345636,"Digestive-genital tract fistula, female"
1980,39.22,33,0.000625877176345636,Aorta-subclavian-carotid bypass
1981,530.2,33,0.000625877176345636,Ulcer of esophagus
1982,462,33,0.000625877176345636,Acute pharyngitis
1983,614.6,33,0.000625877176345636,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)"
1984,853.06,33,0.000625877176345636,"Other and unspecified intracranial hemorrhage following injury, without mention of open intracranial wound, with loss of consciousness of unspecified duration"
1985,558.3,33,0.000625877176345636,Allergic gastroenteritis and colitis
1986,812.21,33,0.000625877176345636,"Closed, fracture of shaft of humerus"
1987,44.61,33,0.000625877176345636,Suture of laceration of stomach
1988,79.37,33,0.000625877176345636,Open reduction of fracture of tarsals and metatarsals with internal fixation
1989,76.75,33,0.000625877176345636,Closed reduction of mandibular fracture
1990,435.2,33,0.000625877176345636,Subclavian steal syndrome
1991,40.41,33,0.000625877176345636,"Radical neck dissection, unilateral"
1992,333.0,33,0.000625877176345636,Other degenerative diseases of the basal ganglia
1993,292.12,33,0.000625877176345636,Drug-induced psychotic disorder with hallucinations
1994,56.0,33,0.000625877176345636,Transurethral removal of obstruction from ureter and renal pelvis
1995,780.1,33,0.000625877176345636,Hallucinations
1996,443.22,33,0.000625877176345636,Dissection of iliac artery
1997,46.74,33,0.000625877176345636,"Closure of fistula of small intestine, except duodenum"
1998,79.33,33,0.000625877176345636,Open reduction of fracture of carpals and metacarpals with internal fixation
1999,188.9,33,0.000625877176345636,"Malignant neoplasm of bladder, part unspecified"
2000,78.19,33,0.000625877176345636,"Application of external fixation device, other"
2001,449,33,0.000625877176345636,Septic arterial embolism
2002,V64.3,33,0.000625877176345636,Procedure not carried out for other reasons
2003,764.05,33,0.000625877176345636,"&quot;Light-for-dates&quot; without mention of fetal malnutrition, 1,250- 1,499 grams"
2004,24.3,33,0.000625877176345636,Other operations on gum
2005,290.41,33,0.000625877176345636,Vascular dementia with delirium
2006,780.99,33,0.000625877176345636,Other general symptoms
2007,50.13,33,0.000625877176345636,Transjugular liver biopsy
2008,68.49,33,0.000625877176345636,Other and unspecified total abdominal hysterectomy
2009,528.00,33,0.000625877176345636,"Stomatitis and mucositis, unspecified"
2010,38.06,32,0.0006069112013048591,Incision of abdominal arteries
2011,11.4,32,0.0006069112013048591,Excision or destruction of tissue or other lesion of cornea
2012,864.02,32,0.0006069112013048591,"Laceration of liver, minor, without mention of open wound into cavity"
2013,250.71,32,0.0006069112013048591,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with peripheral circulatory disorders"
2014,24.2,32,0.0006069112013048591,Gingivoplasty
2015,E911,32,0.0006069112013048591,Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation
2016,433.01,32,0.0006069112013048591,"Occlusion and stenosis of basilar artery, with cerebral infarction"
2017,567.8,32,0.0006069112013048591,Other specified peritonitis
2018,21.81,32,0.0006069112013048591,Suture of laceration of nose
2019,728.85,32,0.0006069112013048591,Spasm of muscle
2020,65.49,32,0.0006069112013048591,Other unilateral salpingo-oophorectomy
2021,196.8,32,0.0006069112013048591,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites
2022,054.2,32,0.0006069112013048591,Herpetic gingivostomatitis
2023,E935.3,32,0.0006069112013048591,Salicylates causing adverse effects in therapeutic use
2024,349.0,32,0.0006069112013048591,Reaction to spinal or lumbar puncture
2025,922.32,32,0.0006069112013048591,Contusion of buttock
2026,716.96,32,0.0006069112013048591,"Arthropathy unspecified, involving lower leg"
2027,748.3,32,0.0006069112013048591,"Other congenital anomalies of larynx, trachea, and bronchus"
2028,80.86,32,0.0006069112013048591,Other local excision or destruction of lesion of knee joint
2029,45.95,32,0.0006069112013048591,Anastomosis to anus
2030,286.0,32,0.0006069112013048591,Congenital factor VIII disorder
2031,764.08,31,0.0005879452262640822,"&quot;Light-for-dates&quot; without mention of fetal malnutrition, 2,000- 2,499 grams"
2032,V10.00,31,0.0005879452262640822,Personal history of malignant neoplasm of unspecified site in gastrointestinal tract
2033,571.49,31,0.0005879452262640822,Other chronic hepatitis
2034,51.84,31,0.0005879452262640822,Endoscopic dilation of ampulla and biliary duct
2035,588.1,31,0.0005879452262640822,Nephrogenic diabetes insipidus
2036,873.8,31,0.0005879452262640822,Other and unspecified open wound of head without mention of complication
2037,43.5,31,0.0005879452262640822,Partial gastrectomy with anastomosis to esophagus
2038,414.04,31,0.0005879452262640822,Coronary atherosclerosis of artery bypass graft
2039,779.0,31,0.0005879452262640822,Convulsions in newborn
2040,772.10,31,0.0005879452262640822,"Intraventricular hemorrhage, unspecified grade"
2041,153.8,31,0.0005879452262640822,Malignant neoplasm of other specified sites of large intestine
2042,378.51,31,0.0005879452262640822,"Third or oculomotor nerve palsy, partial"
2043,153.9,31,0.0005879452262640822,"Malignant neoplasm of colon, unspecified"
2044,359.9,31,0.0005879452262640822,"Myopathy, unspecified"
2045,V54.13,31,0.0005879452262640822,Aftercare for healing traumatic fracture of hip
2046,593.89,31,0.0005879452262640822,Other specified disorders of kidney and ureter
2047,874.8,31,0.0005879452262640822,"Open wound of other and unspecified parts of neck, without mention of complication"
2048,776.7,31,0.0005879452262640822,Transient neonatal neutropenia
2049,493.91,31,0.0005879452262640822,"Asthma, unspecified type, with status asthmaticus"
2050,97.41,31,0.0005879452262640822,Removal of thoracotomy tube or pleural cavity drain
2051,289.89,31,0.0005879452262640822,Other specified diseases of blood and blood-forming organs
2052,555.0,31,0.0005879452262640822,Regional enteritis of small intestine
2053,493.00,31,0.0005879452262640822,Extrinsic asthma without mention of status asthmaticus
2054,790.93,31,0.0005879452262640822,Elevated prostate specific antigen [PSA]
2055,37.25,31,0.0005879452262640822,Biopsy of heart
2056,250.20,31,0.0005879452262640822,"Diabetes mellitus, type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type with hyperosmolarity, not stated as uncontrolled"
2057,724.4,31,0.0005879452262640822,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
2058,37.87,31,0.0005879452262640822,Replacement of any type pacemaker device with dual-chamber device
2059,88.01,31,0.0005879452262640822,Computerized axial tomography of abdomen
2060,781.8,31,0.0005879452262640822,Neurologic neglect syndrome
2061,787.21,31,0.0005879452262640822,"Dysphagia, oral phase"
2062,338.12,31,0.0005879452262640822,Acute post-thoracotomy pain
2063,61.3,30,0.0005689792512233053,Excision or destruction of lesion or tissue of scrotum
2064,E916,30,0.0005689792512233053,Struck accidentally by falling object
2065,39.27,30,0.0005689792512233053,Arteriovenostomy for renal dialysis
2066,996.86,30,0.0005689792512233053,Complications of transplanted pancreas
2067,51.02,30,0.0005689792512233053,Trocar cholecystostomy
2068,965.02,30,0.0005689792512233053,Poisoning by methadone
2069,555.2,30,0.0005689792512233053,Regional enteritis of small intestine with large intestine
2070,711.05,30,0.0005689792512233053,Pyogenic arthritis involving pelvic region and thigh
2071,770.83,30,0.0005689792512233053,Cyanotic attacks of newborn
2072,777.8,30,0.0005689792512233053,Other specified perinatal disorders of digestive system
2073,865.01,30,0.0005689792512233053,"Hematoma of spleen, without rupture of capsule, without mention of open wound into cavity"
2074,996.76,30,0.0005689792512233053,"Other complications due to genitourinary device, implant, and graft"
2075,605,30,0.0005689792512233053,Redundant prepuce and phimosis
2076,865.04,30,0.0005689792512233053,Massive parenchymal disruption of spleen without mention of open wound into cavity
2077,394.0,30,0.0005689792512233053,Mitral stenosis
2078,79.67,30,0.0005689792512233053,Debridement of open fracture of tarsals and metatarsals
2079,52.52,30,0.0005689792512233053,Distal pancreatectomy
2080,711.01,30,0.0005689792512233053,Pyogenic arthritis involving shoulder region
2081,79.01,30,0.0005689792512233053,Closed reduction of fracture of humerus without internal fixation
2082,205.01,30,0.0005689792512233053,Acute myeloid leukemia in remission
2083,852.05,30,0.0005689792512233053,"Subarachnoid hemorrhage following injury, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
2084,E887,30,0.0005689792512233053,"Fracture, cause unspecified"
2085,250.72,30,0.0005689792512233053,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with peripheral circulatory disorders"
2086,286.3,30,0.0005689792512233053,Congenital deficiency of other clotting factors
2087,68.4,30,0.0005689792512233053,Total abdominal hysterectomy
2088,562.00,30,0.0005689792512233053,Diverticulosis of small intestine (without mention of hemorrhage)
2089,997.91,30,0.0005689792512233053,Hypertension
2090,309.9,30,0.0005689792512233053,Unspecified adjustment reaction
2091,51.36,30,0.0005689792512233053,Choledochoenterostomy
2092,37.79,30,0.0005689792512233053,Revision or relocation of cardiac device pocket
2093,569.84,30,0.0005689792512233053,Angiodysplasia of intestine (without mention of hemorrhage)
2094,731.3,30,0.0005689792512233053,Major osseous defects
2095,595.0,30,0.0005689792512233053,Acute cystitis
2096,616.10,30,0.0005689792512233053,"Vaginitis and vulvovaginitis, unspecified"
2097,245.2,30,0.0005689792512233053,Chronic lymphocytic thyroiditis
2098,921.2,30,0.0005689792512233053,Contusion of orbital tissues
2099,E931.7,29,0.0005500132761825286,Antiviral drugs causing adverse effects in therapeutic use
2100,608.4,29,0.0005500132761825286,Other inflammatory disorders of male genital organs
2101,438.19,29,0.0005500132761825286,Other speech and language deficits as late effect of cerebrovascular disease
2102,998.3,29,0.0005500132761825286,Disruption of operation wound
2103,V64.42,29,0.0005500132761825286,Thoracoscopic surgical procedure converted to open procedure
2104,78.15,29,0.0005500132761825286,"Application of external fixation device, femur"
2105,153.4,29,0.0005500132761825286,Malignant neoplasm of cecum
2106,918.1,29,0.0005500132761825286,Superficial injury of cornea
2107,96.06,29,0.0005500132761825286,Insertion of Sengstaken tube
2108,562.13,29,0.0005500132761825286,Diverticulitis of colon with hemorrhage
2109,12.0,29,0.0005500132761825286,Removal of intraocular foreign body from anterior segment of eye
2110,530.12,29,0.0005500132761825286,Acute esophagitis
2111,788.39,29,0.0005500132761825286,Other urinary incontinence
2112,567.38,29,0.0005500132761825286,Other retroperitoneal abscess
2113,V10.85,29,0.0005500132761825286,Personal history of malignant neoplasm of brain
2114,530.4,29,0.0005500132761825286,Perforation of esophagus
2115,53.1,29,0.0005500132761825286,Bilateral repair of inguinal hernia
2116,799.0,29,0.0005500132761825286,Asphyxia and hypoxemia
2117,57.49,29,0.0005500132761825286,Other transurethral excision or destruction of lesion or tissue of bladder
2118,704.8,29,0.0005500132761825286,Other specified diseases of hair and hair follicles
2119,92.0,29,0.0005500132761825286,Radioisotope scan and function study
2120,48.63,29,0.0005500132761825286,Other anterior resection of rectum
2121,742.3,29,0.0005500132761825286,Congenital hydrocephalus
2122,881.00,29,0.0005500132761825286,"Open wound of forearm, without mention of complication"
2123,304.10,29,0.0005500132761825286,"Barbiturate and similarly acting sedative or hypnotic dependence, unspecified use"
2124,746.9,29,0.0005500132761825286,Unspecified congenital anomaly of heart
2125,87.41,29,0.0005500132761825286,Computerized axial tomography of thorax
2126,434.90,29,0.0005500132761825286,"Cerebral artery occlusion, unspecified, without mention of cerebral infarction"
2127,57.95,29,0.0005500132761825286,Replacement of indwelling urinary catheter
2128,368.16,29,0.0005500132761825286,Psychophysical visual disturbances
2129,426.10,29,0.0005500132761825286,"Atrioventricular block, unspecified"
